timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z
8.458,25,1.5730338,-3.5332355,0.48631552,0.6250776,0.0024517688,-0.0024205875,0.780555,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
8.760,26,1.5730903,-3.5335832,0.48618534,0.62626827,0.0024714128,-0.0024185057,0.7796001,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
9.056,27,1.5731311,-3.5339077,0.48605654,0.62743723,0.0024819213,-0.0024158757,0.77865946,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
9.390,28,1.5731608,-3.5342207,0.48592785,0.62858623,0.00249349,-0.0024124586,0.77773225,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
9.681,29,1.5731819,-3.5345256,0.48580134,0.6297204,0.0024995483,-0.00241763,0.7768141,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
10.002,30,1.5731953,-3.5348256,0.4856768,0.63083863,0.0025049618,-0.0024238892,0.77590626,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
10.310,31,1.5732021,-3.53511,0.48555085,0.6319418,0.0025131158,-0.0024238152,0.77500796,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
10.615,32,1.573209,-3.5353844,0.48542228,0.6330319,0.002516748,-0.0024207952,0.77411777,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
10.912,33,1.5732149,-3.5356483,0.48529622,0.63411295,0.0025236711,-0.002424737,0.77323264,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
11.234,34,1.5732156,-3.5359108,0.48517513,0.635186,0.0025264812,-0.0024261249,0.7723513,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
11.530,35,1.5731467,-3.535963,0.48511362,0.6376491,0.0026741046,-0.0011410575,0.77032155,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
11.807,36,1.5733079,-3.5367196,0.4870769,0.6499711,-0.0010207916,0.009070142,0.7599041,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
12.089,37,1.5791912,-3.5415318,0.4877532,0.68572485,-0.0025424033,0.012581313,0.7277478,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
12.385,38,1.5862199,-3.54466,0.4768771,0.7437515,-0.0035988172,0.00811483,0.66839725,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
12.680,39,1.5833352,-3.5481484,0.47984394,0.80561244,-0.007760838,-0.0059756977,0.592362,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
12.967,40,1.5692887,-3.5530448,0.4902184,0.86002636,-0.007916191,-0.009960244,0.51009107,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
13.273,41,1.56048,-3.5594141,0.50627357,0.87915915,-0.0064506084,-0.0030659484,0.47647488,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
